iter	RMSE
0	6618.635291
1	4528.222269
2	3153.226311
3	2231.414542
4	1585.915417
5	1183.4398
6	958.5288373
7	814.6922511
8	719.2297743
9	666.7554556
10	612.3898969
11	566.8910221
12	525.8949216
13	496.5125955
14	481.282835
15	442.8969911
16	425.4698195
17	398.8628718
18	392.3772158
19	379.8198782
20	371.5814462
21	356.275111
22	326.2071769
23	314.4011942
24	306.3689117
25	287.6954497
26	273.8920686
27	263.4698015
28	249.1810358
29	242.3278152
30	237.0951559
31	228.7445113
32	224.4157797
33	215.3339587
34	209.442191
35	200.3346927
36	194.6908381
37	188.7357382
38	182.6645298
39	179.36028
40	174.1539705
41	171.6394364
42	167.6673215
43	164.1481835
44	161.7477523
45	160.1459168
46	159.0397407
47	155.146651
48	152.1034282
49	147.4894647
50	145.0415119
51	142.1264891
52	141.4471962
53	140.4151532
54	136.9407955
55	134.7427014
56	132.372975
57	130.6656793
58	125.674053
59	124.7298357
60	122.4930956
61	120.809537
62	119.0916968
63	117.4981199
64	115.9496809
65	114.8580911
66	111.7534385
67	110.0716238
68	108.7033306
69	106.9317173
70	104.285115
71	103.3203694
72	102.1098325
73	100.9785798
74	100.3661659
75	98.75992236
76	97.38756771
77	96.2207569
78	95.88468115
79	94.20655086
80	93.97021915
81	93.18763485
82	89.02769293
83	88.26481096
84	87.2232624
85	86.83950758
86	86.11801581
87	84.69549255
88	84.12295143
89	83.51060294
90	83.04942437
91	81.45281755
92	80.65013283
93	80.27819353
94	79.69775603
95	79.30487544
96	78.85257628
97	78.49307311
98	78.11646986
99	76.99912394
