iter	Passed	Remaining
0	3	313
1	6	342
2	10	326
3	13	318
4	16	313
5	20	314
6	23	305
7	26	303
8	29	298
9	33	297
10	36	295
11	39	289
12	42	285
13	46	283
14	49	280
15	52	277
16	55	272
17	58	266
18	61	264
19	65	261
20	68	257
21	71	253
22	74	249
23	77	245
24	80	242
25	83	238
26	86	234
27	89	229
28	92	225
29	94	220
30	97	217
31	100	213
32	103	210
33	106	206
34	108	202
35	111	198
36	114	194
37	117	191
38	119	187
39	122	183
40	125	181
41	128	177
42	131	174
43	135	172
44	138	169
45	140	165
46	143	161
47	146	159
48	149	155
49	152	152
50	155	149
51	158	146
52	162	143
53	165	140
54	168	137
55	171	134
56	174	131
57	177	128
58	180	125
59	183	122
60	186	119
61	189	116
62	192	112
63	195	109
64	198	106
65	200	103
66	203	100
67	206	97
68	209	94
69	212	91
70	215	88
71	218	85
72	222	82
73	225	79
74	227	75
75	230	72
76	233	69
77	236	66
78	239	63
79	242	60
80	245	57
81	248	54
82	251	51
83	254	48
84	258	45
85	261	42
86	264	39
87	267	36
88	270	33
89	274	30
90	277	27
91	280	24
92	283	21
93	286	18
94	289	15
95	292	12
96	295	9
97	299	6
98	302	3
99	305	0
